name,height(cm),weight(Ibs),age,avg_score
Emiliano Grillo,175,175,31,70.579
Joseph Bramlett,193,195,36,70.58
Sepp Straka,191,235,31,70.597
Lee Hodges,183,187,28,70.623
Justin Suh,175,165,26,70.646
Keith Mitchell,185,185,32,70.652
Aaron Baddeley,183,175,43,70.659
K.H. Lee,175,176,32,70.679
Austin Eckroat,183,175,25,70.692
Nick Hardy,185,185,28,70.694
Brandon Wu,183,170,27,70.72
Christiaan Bezuidenhout,185,195,30,70.747
Mackenzie Hughes,185,180,33,70.749
Vincent Norrman,185,180,26,70.755
Michael Kim,180,165,30,70.764
Greyson Sigg,170,179,29,70.788
Kevin Yu,175,180,25,70.808
S.H. Kim,180,180,25,70.824
Nate Lashley,185,190,41,70.834
Sam Stevens,185,190,27,70.845
Harry Hall,193,225,26,70.846
Seamus Power,191,200,37,70.847
Davis Thompson,193,195,24,70.855
C.T. Pan,168,145,32,70.857
Matt NeSmith,183,215,30,70.87
Lucas Glover,188,195,44,70.874
Hayden Buckley,180,180,28,70.887
Chesson Hadley,193,175,36,70.917
Ben Martin,180,175,36,70.936
Joel Dahmen,180,176,36,70.951
Doug Ghim,175,165,28,70.952
Will Gordon,191,205,27,70.96
Andrew Novak,188,205,29,70.973
Matt Wallace,185,187,34,70.98
Luke List,188,190,39,70.981
Zac Blair,168,155,33,71.009
Taylor Pendrith,188,200,32,71.012
Tyler Duncan,173,150,34,71.036
Robby Shelton,183,190,28,71.037
Davis Riley,183,175,27,71.038
Billy Horschel,183,175,37,71.042
Ryan Palmer,180,175,47,71.087
Garrick Higgo,183,185,25,71.095
Ryan Moore,175,170,41,71.115
David Lipsky,180,165,35,71.14
Scott Piercy,183,185,45,71.14
Kevin Streelman,178,175,45,71.149
Carson Young,178,155,29,71.194
Charley Hoffman,183,200,47,71.197
Stewart Cink,193,205,51,71.203
Callum Tarren,183,185,33,71.203
Justin Lower,178,175,35,71.225
Satoshi Kodaira,170,150,34,71.26
Zach Johnson,180,164,48,71.274
Kevin Tway,191,185,35,71.279
Adam Long,178,161,36,71.291
Webb Simpson,188,185,38,71.305
Erik van Rooyen,191,194,34,71.309
Patton Kizzire,196,220,38,71.319
Danny Willett,180,170,36,71.344
Scott Stallings,183,195,39,71.366
Chad Ramey,183,190,31,71.368
Austin Smotherman,180,155,30,71.37
Martin Laird,188,190,41,71.386
Kramer Hickok,180,178,32,71.393
Cameron Champ,183,175,28,71.445
Carl Yuan,178,193,27,71.466
MJ Daffue,188,210,35,71.483
Henrik Norlander,193,210,37,71.484
Ben Taylor,180,200,31,71.486
Zecheng Dou,180,185,27,71.489
Russell Knox,178,170,38,71.498
Kevin Chappell,183,180,37,71.517
Peter Malnati,178,159,36,71.53
Sean O'Hair,188,180,41,71.533
Kelly Kraft,183,175,35,71.536
Jimmy Walker,188,180,45,71.536
David Lingmerth,170,175,36,71.541
Brice Garnett,180,175,40,71.552
Nico Echavarria,183,165,29,71.586
Chez Reavie,175,160,42,71.596
Austin Cook,170,160,33,71.611
Chris Stroud,188,180,42,71.612
S.Y. Noh,185,165,32,71.634
Harrison Endycott,175,161,28,71.637
Ryan Armour,175,170,48,71.651
William McGirt,173,195,44,71.652
Troy Merritt,183,160,38,71.685
James Hahn,185,180,42,71.728
Robert Streb,178,165,37,71.74
Matti Schmid,183,160,26,71.751
Lanto Griffin,191,190,35,71.754
Trey Mullinax,193,195,31,71.789
Jonathan Byrd,175,165,46,71.865
Tyson Alexander,185,180,35,71.87
Jason Dufner,178,180,47,71.87
Matthias Schwab,180,161,29,71.907
Harry Higgs,188,235,32,71.982
Wesley Bryan,183,175,34,72.01
Richy Werenski,183,165,32,72.017
Paul Haley II,178,165,36,72.019
Martin Trainer,185,175,33,72.232
Brian Stuard,178,175,41,72.27
Sung Kang,173,165,36,72.497
Jim Herman,183,170,46,72.506
Andrew Landry,170,150,36,72.547
Dylan Frittelli,188,179,33,72.552
Ryan Brehm,193,220,38,72.61
Nick Watney,188,180,43,72.906
Brandon Matthews,193,210,29,73.153
